1,2020-05-15 23:59:30,Dallas Texas,"Due to the COVID-19 pandemic,teams all across the country were not able to participate in spring football. Woodrow Wilson High School decided to still make sure families had an opportunity to enjoy the Spring Game!
This game is a simulation on NCAAFootball '14 with custom rosters"
2,2020-05-15 23:59:28,"Louisville, KY",@cyn_langlois Exhausted. We are facing a WHOLE damn pandemic. My daughter who happens to also be named Brianna is sewing masks for various organizations. But we don’t have the luxury of even focusing on JUST that. We have to fight the corona pandemic and the pandemic of racism.
3,2020-05-15 23:59:17,"England, United Kingdom","If I’m deprived my final graduation because of #COVID19, I am going to be inconsolable! This pandemic situation needs to sort itself by next year! 😰!

#priorities #AcademicChatter #AcademicTwitter #phdchat #phdlife"
4,2020-05-15 23:58:51,Phnom Penh,"A ban on online gaming towards the end of last year followed by the emergence of Covid-19 as a pandemic has not boded well for the real estate market in Sihanoukville, which has gone from boom to bust, local news"
5,2020-05-15 23:58:34,"Garland, TX","FFS!  Burn it all down why don't we?  Stooooopid humans.  
*Trump is an enemy of Democracy 
*COVID-19 is not a hoax.
*Climate Change is an established fact.
*Herd Immunity Threshold isn't possible in this Pandemic.
*The DNC are up to their same old tricks.
*America is a fail."
6,2020-05-15 23:57:28,,"From now on, due to the Covid-19 pandemic, our life and the way we live have changed and evolved. Digital Economy has become increasingly significant and important for us to survive. We need to adapt and practice the New Norm or risk being left behind and unable to survive."
7,2020-05-15 23:56:51,United States,It’s crazy that my school was able to offer me a grant (with the fed miney the gov gave to colleges due to the COVID-19 pandemic) for the summer after contacting the financial aid office but never once informed any students about this help.
8,2020-05-15 23:56:36,,I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and Narendra Modi during this pandemic. We’re also cooperating on vaccine development. Together we will beat the invisible enemy: US President Donald Trump #COVID19
9,2020-05-15 23:56:16,New Orleans,"I don't know about you but I'm so glad we have a Space Force instead of a Pandemic Response Team.
#SpaceForce #COVID19"
10,2020-05-15 23:55:53,,“Pansplain”: telling people how to pandemic #covid19
11,2020-05-15 23:55:32,,"@PressSec Flynn . Plead . Guilty. To . Benefit . Himself. The Covid-19 crisis started years AFTER the #Trunts took office, and #KingTrunt dismantled the pandemic response team."
12,2020-05-15 23:55:31,"Yuma, AZ","@SenToddYoung Firstly, thank you senator. I’ve been serving the cancer patients in Yuma county for the last two years and time has never been more important than taking care of them during this coronavirus pandemic since there is increased mortality in cancer patients from COVID-19 @WearePAHA"
13,2020-05-15 23:55:03,"New Orleans, LA","Imagine, in 20 years, watching Jeopardy with your children and hearing “this bee-hungry insect invaded the US during the COVID-19 pandemic.”

 Gonna be so badass to whisper “murder hornets.” They’ll think it’s a joke, but, guess who just won the Daily Double, you stupid idiots."
14,2020-05-15 23:54:58,"Vermont, USA",@_warrenfelt_z Jeffree’s new palette is called cremated. People are upset and offended because of people having been cremated and because of people dying during the pandemic. Even though he got the copyright before corona even existed.
15,2020-05-15 23:54:12,"Louisiana, USA","@senatemajldr Trump has made the covid19 pandemic response political. Firing experts, destroying institutions, using relief bills like campaign slush funds &amp; encouraging armed rebellion. Buffoonery &amp; bravado is treasonous while Americans suffer &amp; die.Trump is the hoax."
16,2020-05-15 23:54:11,"Saddle Ridge, Calgary","Air Canada to lay off 20,000 workers.
 
Air Canada plans to lay off at least 20,000 employees as the COVID-19 pandemic continues to wreak havoc on the airline industry. The layoffs will impact more than half of the company’s employees."
17,2020-05-15 23:53:54,"London, England",Simple solution to #COVID19 pandemic: stay inside and read books all day
